id,source,referenceId,counterparty,amount,currency,date,description,type,category
B4-LDG-032,LEDGER,"SET4-PAY-2026-0807-3","Summit Edge",156062.00,INR,2026-09-16,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-033,LEDGER,"SET4-PAY-2026-0807-4","Titan Logistics",160767.50,INR,2026-09-19,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-034,LEDGER,"SET4-PAY-2026-0807-5","Solstice Networks",165473.00,INR,2026-09-22,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-035,LEDGER,"SET4-PAY-2026-0807-1","CyberCore Security",166570.00,INR,2026-09-25,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-036,LEDGER,"SET4-PAY-2026-0808-2","SkyBridge Co",171275.50,INR,2026-09-01,"Support Fees settlement - SkyBridge Co",DEBIT,"Support Fees"
B4-LDG-037,LEDGER,"SET4-PAY-2026-0808-3","Orbital Ltd",175981.00,INR,2026-09-04,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-038,LEDGER,"SET4-PAY-2026-0808-4","HorizonNet",180686.50,INR,2026-09-07,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-039,LEDGER,"SET4-PAY-2026-0808-5","Nexus Corp",185392.00,INR,2026-09-10,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-040,LEDGER,"SET4-PAY-2026-0808-1","Vertex Labs",190097.50,INR,2026-09-13,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-041,LEDGER,"SET4-PAY-2026-0809-2","Vanguard Data",194803.00,INR,2026-09-16,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-042,LEDGER,"SET4-PAY-2026-0809-3","Summit Edge",195900.00,INR,2026-09-19,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-043,LEDGER,"SET4-PAY-2026-0809-4","Titan Logistics",200605.50,INR,2026-09-22,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-044,LEDGER,"SET4-PAY-2026-0809-5","Solstice Networks",205311.00,INR,2026-09-25,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-045,LEDGER,"SET4-PAY-2026-0809-1","CyberCore Security",210016.50,INR,2026-09-01,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-046,LEDGER,"SET4-PAY-2026-0810-2","SkyBridge Co",214722.00,INR,2026-09-04,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-047,LEDGER,"SET4-PAY-2026-0810-3","Orbital Ltd",219427.50,INR,2026-09-07,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-048,LEDGER,"SET4-PAY-2026-0810-4","HorizonNet",224133.00,INR,2026-09-10,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-049,LEDGER,"SET4-PAY-2026-0810-5","Nexus Corp",225230.00,INR,2026-09-13,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-050,LEDGER,"SET4-PAY-2026-0810-1","Vertex Labs",229935.50,INR,2026-09-16,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-051,LEDGER,"SET4-PAY-2026-0811-2","Vanguard Data",234641.00,INR,2026-09-19,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-052,LEDGER,"SET4-PAY-2026-0811-3","Summit Edge",239346.50,INR,2026-09-22,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-053,LEDGER,"SET4-PAY-2026-0811-4","Titan Logistics",244052.00,INR,2026-09-25,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-054,LEDGER,"SET4-PAY-2026-0811-5","Solstice Networks",248757.50,INR,2026-09-01,"License Revenue settlement - Solstice Networks",DEBIT,"License Revenue"
B4-LDG-055,LEDGER,"SET4-PAY-2026-0811-1","CyberCore Security",253463.00,INR,2026-09-04,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-056,LEDGER,"SET4-PAY-2026-0812-2","SkyBridge Co",254560.00,INR,2026-09-07,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-057,LEDGER,"SET4-PAY-2026-0812-3","Orbital Ltd",259265.50,INR,2026-09-10,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-058,LEDGER,"SET4-PAY-2026-0812-4","HorizonNet",263971.00,INR,2026-09-13,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-059,LEDGER,"SET4-PAY-2026-0812-5","Nexus Corp",268676.50,INR,2026-09-16,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-060,LEDGER,"SET4-PAY-2026-0812-1","Vertex Labs",273382.00,INR,2026-09-19,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-061,LEDGER,"SET4-PAY-2026-0813-2","Vanguard Data",278087.50,INR,2026-09-22,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-062,LEDGER,"SET4-PAY-2026-0813-3","Summit Edge",282793.00,INR,2026-09-25,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-063,LEDGER,"SET4-PAY-2026-0813-4","Titan Logistics",283890.00,INR,2026-09-01,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-064,LEDGER,"SET4-PAY-2026-0813-5","Solstice Networks",288595.50,INR,2026-09-04,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-065,LEDGER,"SET4-PAY-2026-0813-1","CyberCore Security",293301.00,INR,2026-09-07,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-066,LEDGER,"SET4-PAY-2026-0814-2","SkyBridge Co",298006.50,INR,2026-09-10,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-067,LEDGER,"SET4-PAY-2026-0814-3","Orbital Ltd",302712.00,INR,2026-09-13,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-068,LEDGER,"SET4-PAY-2026-0814-4","HorizonNet",307417.50,INR,2026-09-16,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-069,LEDGER,"SET4-PAY-2026-0814-5","Nexus Corp",312123.00,INR,2026-09-19,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-070,LEDGER,"SET4-PAY-2026-0814-1","Vertex Labs",313220.00,INR,2026-09-22,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-071,LEDGER,"SET4-PAY-2026-0815-2","Vanguard Data",317925.50,INR,2026-09-25,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-072,LEDGER,"SET4-PAY-2026-0815-3","Summit Edge",322631.00,INR,2026-09-01,"SaaS Revenue settlement - Summit Edge",DEBIT,"SaaS Revenue"
B4-LDG-073,LEDGER,"SET4-PAY-2026-0815-4","Titan Logistics",327336.50,INR,2026-09-04,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-074,LEDGER,"SET4-PAY-2026-0815-5","Solstice Networks",332042.00,INR,2026-09-07,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-075,LEDGER,"SET4-PAY-2026-0815-1","CyberCore Security",336747.50,INR,2026-09-10,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-076,LEDGER,"SET4-PAY-2026-0816-2","SkyBridge Co",341453.00,INR,2026-09-13,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-077,LEDGER,"SET4-PAY-2026-0816-3","Orbital Ltd",342550.00,INR,2026-09-16,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-078,LEDGER,"SET4-PAY-2026-0816-4","HorizonNet",347255.50,INR,2026-09-19,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-079,LEDGER,"SET4-PAY-2026-0816-5","Nexus Corp",351961.00,INR,2026-09-22,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-080,LEDGER,"SET4-PAY-2026-0816-1","Vertex Labs",356666.50,INR,2026-09-25,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-081,LEDGER,"SET4-PAY-2026-0817-2","Vanguard Data",361372.00,INR,2026-09-01,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-082,LEDGER,"SET4-PAY-2026-0817-3","Summit Edge",366077.50,INR,2026-09-04,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-083,LEDGER,"SET4-PAY-2026-0817-4","Titan Logistics",370783.00,INR,2026-09-07,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-084,LEDGER,"SET4-PAY-2026-0817-5","Solstice Networks",371880.00,INR,2026-09-10,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-085,LEDGER,"SET4-PAY-2026-0817-1","CyberCore Security",376585.50,INR,2026-09-13,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-086,LEDGER,"SET4-PAY-2026-0818-2","SkyBridge Co",381291.00,INR,2026-09-16,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-087,LEDGER,"SET4-PAY-2026-0818-3","Orbital Ltd",385996.50,INR,2026-09-19,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-088,LEDGER,"SET4-PAY-2026-0818-4","HorizonNet",390702.00,INR,2026-09-22,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-089,LEDGER,"SET4-PAY-2026-0818-5","Nexus Corp",395407.50,INR,2026-09-25,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-090,LEDGER,"SET4-PAY-2026-0818-1","Vertex Labs",400113.00,INR,2026-09-01,"Services settlement - Vertex Labs",DEBIT,"Services"
B4-LDG-091,LEDGER,"SET4-PAY-2026-0819-2","Vanguard Data",401210.00,INR,2026-09-04,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-092,LEDGER,"SET4-PAY-2026-0819-3","Summit Edge",405915.50,INR,2026-09-07,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-093,LEDGER,"SET4-PAY-2026-0819-4","Titan Logistics",410621.00,INR,2026-09-10,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-094,LEDGER,"SET4-PAY-2026-0819-5","Solstice Networks",415326.50,INR,2026-09-13,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-095,LEDGER,"SET4-PAY-2026-0819-1","CyberCore Security",420032.00,INR,2026-09-16,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-096,LEDGER,"SET4-PAY-2026-0820-2","SkyBridge Co",424737.50,INR,2026-09-19,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-097,LEDGER,"SET4-PAY-2026-0820-3","Orbital Ltd",429443.00,INR,2026-09-22,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-098,LEDGER,"SET4-PAY-2026-0820-4","HorizonNet",430540.00,INR,2026-09-25,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-099,LEDGER,"SET4-PAY-2026-0820-5","Nexus Corp",435245.50,INR,2026-09-01,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-100,LEDGER,"SET4-PAY-2026-0820-1","Vertex Labs",439951.00,INR,2026-09-04,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-101,LEDGER,"SET4-PAY-2026-0821-2","Vanguard Data",444656.50,INR,2026-09-07,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-102,LEDGER,"SET4-PAY-2026-0821-3","Summit Edge",449362.00,INR,2026-09-10,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-103,LEDGER,"SET4-PAY-2026-0821-4","Titan Logistics",454067.50,INR,2026-09-13,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-104,LEDGER,"SET4-PAY-2026-0821-5","Solstice Networks",458773.00,INR,2026-09-16,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-105,LEDGER,"SET4-PAY-2026-0821-1","CyberCore Security",459870.00,INR,2026-09-19,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-106,LEDGER,"SET4-PAY-2026-0822-2","SkyBridge Co",464575.50,INR,2026-09-22,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-107,LEDGER,"SET4-PAY-2026-0822-3","Orbital Ltd",469281.00,INR,2026-09-25,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-108,LEDGER,"SET4-PAY-2026-0822-4","HorizonNet",473986.50,INR,2026-09-01,"Wire Transfer settlement - HorizonNet",DEBIT,"Wire Transfer"
B4-LDG-109,LEDGER,"SET4-PAY-2026-0822-5","Nexus Corp",478692.00,INR,2026-09-04,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-110,LEDGER,"SET4-PAY-2026-0822-1","Vertex Labs",483397.50,INR,2026-09-07,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-111,LEDGER,"SET4-PAY-2026-0823-2","Vanguard Data",488103.00,INR,2026-09-10,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-112,LEDGER,"SET4-PAY-2026-0823-3","Summit Edge",489200.00,INR,2026-09-13,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-113,LEDGER,"SET4-PAY-2026-0823-4","Titan Logistics",493905.50,INR,2026-09-16,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-114,LEDGER,"SET4-PAY-2026-0823-5","Solstice Networks",498611.00,INR,2026-09-19,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-115,LEDGER,"SET4-PAY-2026-0823-1","CyberCore Security",503316.50,INR,2026-09-22,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-116,LEDGER,"SET4-PAY-2026-0824-2","SkyBridge Co",508022.00,INR,2026-09-25,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-117,LEDGER,"SET4-PAY-2026-0824-3","Orbital Ltd",512727.50,INR,2026-09-01,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-118,LEDGER,"SET4-PAY-2026-0824-4","HorizonNet",517433.00,INR,2026-09-04,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-119,LEDGER,"SET4-PAY-2026-0824-5","Nexus Corp",518530.00,INR,2026-09-07,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-120,LEDGER,"SET4-PAY-2026-0824-1","Vertex Labs",523235.50,INR,2026-09-10,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-121,LEDGER,"SET4-PAY-2026-0825-2","Vanguard Data",527941.00,INR,2026-09-13,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-122,LEDGER,"SET4-PAY-2026-0825-3","Summit Edge",532646.50,INR,2026-09-16,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-123,LEDGER,"SET4-PAY-2026-0825-4","Titan Logistics",537352.00,INR,2026-09-19,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-124,LEDGER,"SET4-PAY-2026-0825-5","Solstice Networks",542057.50,INR,2026-09-22,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-125,LEDGER,"SET4-PAY-2026-0825-1","CyberCore Security",546763.00,INR,2026-09-25,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-126,LEDGER,"SET4-PAY-2026-0826-2","SkyBridge Co",547860.00,INR,2026-09-01,"Support Fees settlement - SkyBridge Co",DEBIT,"Support Fees"
B4-LDG-127,LEDGER,"SET4-PAY-2026-0826-3","Orbital Ltd",552565.50,INR,2026-09-04,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-128,LEDGER,"SET4-PAY-2026-0826-4","HorizonNet",557271.00,INR,2026-09-07,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-129,LEDGER,"SET4-PAY-2026-0826-5","Nexus Corp",561976.50,INR,2026-09-10,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-130,LEDGER,"SET4-PAY-2026-0826-1","Vertex Labs",566682.00,INR,2026-09-13,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-131,LEDGER,"SET4-PAY-2026-0827-2","Vanguard Data",21387.50,INR,2026-09-16,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-132,LEDGER,"SET4-PAY-2026-0827-3","Summit Edge",26093.00,INR,2026-09-19,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-133,LEDGER,"SET4-PAY-2026-0827-4","Titan Logistics",27190.00,INR,2026-09-22,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-134,LEDGER,"SET4-PAY-2026-0827-5","Solstice Networks",31895.50,INR,2026-09-25,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-135,LEDGER,"SET4-PAY-2026-0827-1","CyberCore Security",36601.00,INR,2026-09-01,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-136,LEDGER,"SET4-PAY-2026-0828-2","SkyBridge Co",41306.50,INR,2026-09-04,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-137,LEDGER,"SET4-PAY-2026-0828-3","Orbital Ltd",46012.00,INR,2026-09-07,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-138,LEDGER,"SET4-PAY-2026-0828-4","HorizonNet",50717.50,INR,2026-09-10,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-139,LEDGER,"SET4-PAY-2026-0828-5","Nexus Corp",55423.00,INR,2026-09-13,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-140,LEDGER,"SET4-PAY-2026-0828-1","Vertex Labs",56520.00,INR,2026-09-16,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-141,LEDGER,"SET4-PAY-2026-0829-2","Vanguard Data",61225.50,INR,2026-09-19,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-142,LEDGER,"SET4-PAY-2026-0829-3","Summit Edge",65931.00,INR,2026-09-22,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-143,LEDGER,"SET4-PAY-2026-0829-4","Titan Logistics",70636.50,INR,2026-09-25,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-144,LEDGER,"SET4-PAY-2026-0829-5","Solstice Networks",75342.00,INR,2026-09-01,"License Revenue settlement - Solstice Networks",DEBIT,"License Revenue"
B4-LDG-145,LEDGER,"SET4-PAY-2026-0829-1","CyberCore Security",80047.50,INR,2026-09-04,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-146,LEDGER,"SET4-PAY-2026-0830-2","SkyBridge Co",84753.00,INR,2026-09-07,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-147,LEDGER,"SET4-PAY-2026-0830-3","Orbital Ltd",85850.00,INR,2026-09-10,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-148,LEDGER,"SET4-PAY-2026-0830-4","HorizonNet",90555.50,INR,2026-09-13,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-149,LEDGER,"SET4-PAY-2026-0830-5","Nexus Corp",95261.00,INR,2026-09-16,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-150,LEDGER,"SET4-PAY-2026-0830-1","Vertex Labs",99966.50,INR,2026-09-19,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-151,LEDGER,"SET4-PAY-2026-0831-2","Vanguard Data",104672.00,INR,2026-09-22,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-152,LEDGER,"SET4-PAY-2026-0831-3","Summit Edge",109377.50,INR,2026-09-25,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-153,LEDGER,"SET4-PAY-2026-0831-4","Titan Logistics",114083.00,INR,2026-09-01,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-154,LEDGER,"SET4-PAY-2026-0831-5","Solstice Networks",115180.00,INR,2026-09-04,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-155,LEDGER,"SET4-PAY-2026-0831-1","CyberCore Security",119885.50,INR,2026-09-07,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-156,LEDGER,"SET4-PAY-2026-0832-2","SkyBridge Co",124591.00,INR,2026-09-10,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
